EventTime,EventType,Event
,AGENT_TYPE,MarketMakerAgent
,STARTING_CASH,10000000
2019-06-28 09:30:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
2019-06-28 09:30:10.000000000,BID_DEPTH,"[(99968, 500), (99967, 100), (99962, 100), (99961, 100), (99959, 100)]"
2019-06-28 09:30:10.000000000,ASK_DEPTH,"[(99990, 100), (100012, 100), (100031, 100), (100039, 100), (100042, 100)]"
2019-06-28 09:30:10.000000000,IMBALANCE,"[900, 500]"
2019-06-28 09:30:20.000000000,BID_DEPTH,"[(99968, 500), (99967, 100), (99962, 100), (99961, 100), (99959, 100)]"
2019-06-28 09:30:20.000000000,ASK_DEPTH,"[(99990, 100), (100012, 100), (100031, 100), (100039, 100), (100042, 100)]"
2019-06-28 09:30:20.000000000,IMBALANCE,"[900, 500]"
2019-06-28 09:30:30.000000000,BID_DEPTH,"[(99968, 500), (99967, 100), (99962, 100), (99961, 100), (99959, 100)]"
2019-06-28 09:30:30.000000000,ASK_DEPTH,"[(99990, 100), (100012, 100), (100031, 100), (100039, 100), (100042, 100)]"
2019-06-28 09:30:30.000000000,IMBALANCE,"[900, 500]"
2019-06-28 09:30:40.000000000,BID_DEPTH,"[(99968, 500), (99967, 100), (99962, 100), (99961, 100), (99954, 100)]"
2019-06-28 09:30:40.000000000,ASK_DEPTH,"[(99990, 100), (100012, 100), (100031, 100), (100039, 100), (100042, 100)]"
2019-06-28 09:30:40.000000000,IMBALANCE,"[900, 500]"
2019-06-28 09:30:50.000000000,BID_DEPTH,"[(99968, 500), (99967, 100), (99962, 100), (99961, 100), (99954, 100)]"
2019-06-28 09:30:50.000000000,ASK_DEPTH,"[(99990, 100), (100012, 100), (100031, 100), (100039, 100), (100042, 100)]"
2019-06-28 09:30:50.000000000,IMBALANCE,"[900, 500]"
2019-06-28 09:31:00.000000000,BID_DEPTH,"[(99968, 500), (99967, 100), (99962, 100), (99961, 100), (99954, 100)]"
2019-06-28 09:31:00.000000000,ASK_DEPTH,"[(99990, 100), (100012, 100), (100031, 100), (100039, 100), (100042, 100)]"
2019-06-28 09:31:00.000000000,IMBALANCE,"[900, 500]"
2019-06-28 09:31:10.000000000,BID_DEPTH,"[(99968, 500), (99967, 100), (99962, 100), (99961, 100), (99954, 100)]"
2019-06-28 09:31:10.000000000,ASK_DEPTH,"[(99990, 200), (100012, 100), (100031, 100), (100039, 100), (100042, 100)]"
2019-06-28 09:31:10.000000000,IMBALANCE,"[900, 600]"
2019-06-28 09:31:20.000000000,BID_DEPTH,"[(99968, 500), (99967, 100), (99962, 100), (99961, 100), (99954, 100)]"
2019-06-28 09:31:20.000000000,ASK_DEPTH,"[(99990, 200), (100012, 100), (100031, 100), (100039, 100), (100042, 100)]"
2019-06-28 09:31:20.000000000,IMBALANCE,"[900, 600]"
2019-06-28 09:31:30.000000000,BID_DEPTH,"[(99968, 500), (99967, 100), (99962, 100), (99961, 100), (99954, 100)]"
2019-06-28 09:31:30.000000000,ASK_DEPTH,"[(99990, 200), (100012, 100), (100031, 100), (100039, 100), (100042, 100)]"
2019-06-28 09:31:30.000000000,IMBALANCE,"[900, 600]"
2019-06-28 09:31:40.000000000,BID_DEPTH,"[(99968, 400), (99967, 100), (99962, 100), (99954, 100), (99948, 100)]"
2019-06-28 09:31:40.000000000,ASK_DEPTH,"[(99990, 200), (100012, 100), (100031, 100), (100039, 100), (100042, 100)]"
