,ask_price_1,ask_size_1,bid_price_1,bid_size_1,ask_price_2,ask_size_2,bid_price_2,bid_size_2,ask_price_3,ask_size_3,bid_price_3,bid_size_3,ask_price_4,ask_size_4,bid_price_4,bid_size_4,ask_price_5,ask_size_5,bid_price_5,bid_size_5,ask_price_6,ask_size_6,bid_price_6,bid_size_6,ask_price_7,ask_size_7,bid_price_7,bid_size_7,ask_price_8,ask_size_8,bid_price_8,bid_size_8,ask_price_9,ask_size_9,bid_price_9,bid_size_9,ask_price_10,ask_size_10,bid_price_10,bid_size_10
2019-06-28 09:30:00.000000002,,,99964,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000003,,,99964,100,,,99934,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000005,,,99970,100,,,99964,100,,,99939,100,,,99934,100,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000009,,,100100,100,,,99970,100,,,99964,100,,,99939,100,,,99934,100,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000010,,,100100,100,,,99970,100,,,99964,100,,,99939,100,,,99934,100,,,99930,100,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000011,100188,100,99970,100,,,99964,100,,,99939,100,,,99934,100,,,99930,100,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000012,100117,100,99970,100,100188,100,99964,100,,,99939,100,,,99934,100,,,99930,100,,,99849,100,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000013,100117,100,100017,100,100188,100,99970,100,,,99964,100,,,99939,100,,,99934,100,,,99930,100,,,99849,100,,,,,,,,,,,,
2019-06-28 09:30:00.000000015,100117,100,100017,100,100188,100,99970,100,100204,100,99964,100,,,99939,100,,,99934,100,,,99930,100,,,99849,100,,,,,,,,,,,,
2019-06-28 09:30:00.000000017,100117,100,100041,100,100188,100,100017,100,100204,100,99970,100,,,99964,100,,,99939,100,,,99934,100,,,99930,100,,,99849,100,,,,,,,,
2019-06-28 09:30:00.000000020,100100,100,100017,100,100117,100,99970,100,100188,100,99964,100,100204,100,99939,100,,,99934,100,,,99930,100,,,99849,100,,,,,,,,,,,,
2019-06-28 09:30:00.000000021,100100,100,100017,100,100117,100,99970,100,100188,100,99964,100,100204,100,99939,100,100243,100,99934,100,,,99930,100,,,99849,100,,,,,,,,,,,,
2019-06-28 09:30:00.000000022,100031,100,100017,100,100100,100,99970,100,100117,100,99964,100,100188,100,99939,100,100204,100,99934,100,100243,100,99930,100,,,99849,100,,,,,,,,,,,,
2019-06-28 09:30:00.000000023,100031,100,99970,100,100100,100,99964,100,100117,100,99939,100,100188,100,99934,100,100204,100,99930,100,100243,100,99849,100,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000027,100030,100,99970,100,100031,100,99964,100,100100,100,99939,100,100117,100,99936,100,100188,100,99934,100,100204,100,99930,100,100243,100,99855,100,,,99849,100,,,,,,,,
2019-06-28 09:30:00.000000028,100030,200,99970,100,100031,100,99964,100,100100,100,99939,100,100117,100,99936,100,100188,100,99934,100,100204,100,99930,100,100243,100,99855,100,,,99849,100,,,,,,,,
2019-06-28 09:30:00.000000029,100030,200,99970,100,100031,100,99964,100,100100,100,99939,100,100117,100,99936,100,100188,100,99934,100,100204,100,99930,100,100243,100,99900,100,,,99855,100,,,99849,100,,,,
2019-06-28 09:30:00.000000032,100030,200,99970,100,100031,100,99964,100,100041,100,99939,100,100100,100,99936,100,100117,100,99934,100,100188,100,99930,100,100204,100,99900,100,100243,100,99855,100,,,99849,100,,,,
2019-06-28 09:30:00.000000035,100030,100,99970,100,100031,100,99964,100,100037,100,99939,100,100041,100,99936,100,100100,100,99934,100,100117,100,99930,100,100188,100,99900,100,100204,100,99855,100,100243,100,99849,100,,,,
2019-06-28 09:30:00.000000038,100030,100,99970,100,100031,100,99964,100,100037,100,99939,100,100041,100,99936,100,100086,100,99934,100,100100,100,99930,100,100117,100,99900,100,100140,100,99855,100,100188,100,99849,100,100204,100,,
2019-06-28 09:30:00.000000039,100030,100,99985,100,100031,100,99970,100,100037,100,99964,100,100041,100,99939,100,100086,100,99936,100,100100,100,99934,100,100117,100,99930,100,100140,100,99922,100,100188,100,99900,100,100204,100,99855,100
2019-06-28 09:30:00.000000040,100030,100,100008,100,100031,100,99985,100,100037,100,99970,100,100041,100,99964,100,100086,100,99939,100,100100,100,99936,100,100117,100,99934,100,100140,100,99930,100,100188,100,99922,100,100204,100,99900,100
2019-06-28 09:30:00.000000041,100030,100,100008,100,100031,100,99985,100,100037,100,99970,100,100041,100,99964,100,100086,100,99939,100,100100,100,99936,100,100117,100,99934,100,100140,100,99930,100,100188,100,99922,100,100204,100,99914,100
2019-06-28 09:30:00.000000043,100030,100,100008,100,100031,100,99985,100,100037,100,99970,100,100041,100,99964,100,100086,100,99939,100,100100,100,99936,100,100117,100,99934,100,100140,100,99932,100,100183,100,99930,100,100188,100,99922,100
2019-06-28 09:30:00.000000045,100030,100,100008,100,100031,100,99985,100,100037,100,99970,100,100041,100,99964,100,100086,100,99939,100,100100,100,99936,100,100117,100,99934,100,100140,100,99932,100,100183,100,99930,100,100188,100,99922,200
2019-06-28 09:30:00.000000046,100030,100,100017,100,100031,100,100008,100,100037,100,99985,100,100041,100,99970,100,100086,100,99964,100,100100,100,99939,100,100117,100,99936,100,100140,100,99934,100,100183,100,99932,100,100188,100,99930,100
2019-06-28 09:30:00.000000047,100029,100,100017,100,100030,100,100008,100,100031,100,99985,100,100037,100,99970,100,100041,100,99964,100,100086,100,99939,100,100100,100,99936,100,100117,100,99934,100,100140,100,99932,100,100183,100,99930,100
2019-06-28 09:30:00.000000050,100029,100,100008,100,100030,100,99985,100,100031,100,99970,100,100037,100,99964,100,100041,100,99939,100,100086,100,99936,100,100100,100,99934,100,100117,100,99932,100,100140,100,99930,100,100183,100,99922,200
2019-06-28 09:30:00.000000052,100029,100,100008,100,100030,200,99985,100,100031,100,99970,100,100037,100,99964,100,100041,100,99939,100,100086,100,99936,100,100100,100,99934,100,100117,100,99932,100,100140,100,99930,100,100183,100,99922,200
2019-06-28 09:30:00.000000059,100029,100,100008,100,100030,200,99985,100,100031,100,99970,100,100037,100,99964,100,100041,100,99939,100,100086,100,99936,100,100100,100,99934,100,100117,100,99932,100,100140,100,99930,100,100183,100,99922,200
2019-06-28 09:30:00.000000064,100029,100,99985,100,100030,200,99970,100,100031,100,99964,100,100037,100,99939,100,100041,100,99936,100,100086,100,99934,100,100100,100,99932,100,100117,100,99930,100,100140,100,99922,200,100183,100,99914,100
2019-06-28 09:30:00.000000069,100029,100,99985,100,100030,200,99970,100,100031,100,99964,100,100037,100,99939,100,100041,100,99936,100,100063,100,99934,100,100086,100,99932,100,100100,100,99930,100,100117,100,99922,200,100140,100,99914,100
