EventTime,EventType,Event
,AGENT_TYPE,AgentUnderTest
,STARTING_CASH,10000000
2019-06-28 09:30:00,HOLDINGS_UPDATED,{'CASH': 10000000}
2019-06-28 09:31:00,BID_DEPTH,"[(99976, 182)]"
2019-06-28 09:31:00,ASK_DEPTH,"[(100017, 282)]"
2019-06-28 09:31:00,IMBALANCE,"[182, 282]"
2019-06-28 09:32:00,BID_DEPTH,"[(99976, 265)]"
2019-06-28 09:32:00,ASK_DEPTH,"[(100017, 365)]"
2019-06-28 09:32:00,IMBALANCE,"[265, 365]"
2019-06-28 09:33:00,BID_DEPTH,"[(99970, 182)]"
2019-06-28 09:33:00,ASK_DEPTH,"[(100016, 182)]"
2019-06-28 09:33:00,IMBALANCE,"[182, 182]"
2019-06-28 09:34:00,BID_DEPTH,"[(99970, 430)]"
2019-06-28 09:34:00,ASK_DEPTH,"[(99985, 430)]"
2019-06-28 09:34:00,IMBALANCE,"[430, 430]"
2019-06-28 09:35:00,BID_DEPTH,"[(99939, 166)]"
2019-06-28 09:35:00,ASK_DEPTH,"[(99969, 166)]"
2019-06-28 09:35:00,IMBALANCE,"[166, 166]"
2019-06-28 09:36:00,BID_DEPTH,"[(99933, 182)]"
2019-06-28 09:36:00,ASK_DEPTH,"[(99939, 182)]"
2019-06-28 09:36:00,IMBALANCE,"[182, 182]"
2019-06-28 09:37:00,BID_DEPTH,"[(99930, 182)]"
2019-06-28 09:37:00,ASK_DEPTH,"[(99933, 182)]"
2019-06-28 09:37:00,IMBALANCE,"[182, 182]"
2019-06-28 09:38:00,BID_DEPTH,"[(99892, 182)]"
2019-06-28 09:38:00,ASK_DEPTH,"[(99933, 182)]"
2019-06-28 09:38:00,IMBALANCE,"[182, 182]"
2019-06-28 09:39:00,BID_DEPTH,"[(99851, 430)]"
2019-06-28 09:39:00,ASK_DEPTH,"[(99922, 430)]"
2019-06-28 09:39:00,IMBALANCE,"[430, 430]"
2019-06-28 09:40:00,BID_DEPTH,"[(99893, 182)]"
2019-06-28 09:40:00,ASK_DEPTH,"[(99906, 182)]"
2019-06-28 09:40:00,IMBALANCE,"[182, 182]"
2019-06-28 09:41:00,BID_DEPTH,"[(99893, 166)]"
2019-06-28 09:41:00,ASK_DEPTH,"[(99922, 266)]"
2019-06-28 09:41:00,IMBALANCE,"[166, 266]"
2019-06-28 09:42:00,BID_DEPTH,"[(99893, 265)]"
2019-06-28 09:42:00,ASK_DEPTH,"[(99933, 265)]"
2019-06-28 09:42:00,IMBALANCE,"[265, 265]"
2019-06-28 09:43:00,BID_DEPTH,"[(99893, 430)]"
2019-06-28 09:43:00,ASK_DEPTH,"[(99969, 530)]"
2019-06-28 09:43:00,IMBALANCE,"[430, 530]"
2019-06-28 09:44:00,BID_DEPTH,"[(99939, 265)]"
2019-06-28 09:44:00,ASK_DEPTH,"[(99969, 265)]"
2019-06-28 09:44:00,IMBALANCE,"[265, 265]"
2019-06-28 09:45:00,BID_DEPTH,"[(99944, 530)]"
