,ask_price_1,ask_size_1,bid_price_1,bid_size_1,ask_price_2,ask_size_2,bid_price_2,bid_size_2,ask_price_3,ask_size_3,bid_price_3,bid_size_3,ask_price_4,ask_size_4,bid_price_4,bid_size_4,ask_price_5,ask_size_5,bid_price_5,bid_size_5,ask_price_6,ask_size_6,bid_price_6,bid_size_6,ask_price_7,ask_size_7,bid_price_7,bid_size_7,ask_price_8,ask_size_8,bid_price_8,bid_size_8,ask_price_9,ask_size_9,bid_price_9,bid_size_9,ask_price_10,ask_size_10,bid_price_10,bid_size_10
2019-06-28 09:30:00.000000000,100071,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000001,100071,100,99933,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000002,100006,100,99933,100,100071,100,99917,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000003,99974,100,99933,100,100006,100,99917,100,100071,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000004,99974,100,99933,100,100006,100,99917,100,100068,100,,,100071,100,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000005,100006,100,99933,100,100068,100,99917,100,100071,100,,,100203,100,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000009,100006,100,99933,100,100068,100,99917,100,100071,100,,,100101,100,,,100203,100,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000010,100006,100,99933,100,100027,100,99917,100,100068,100,,,100071,100,,,100101,100,,,100203,100,,,100216,100,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000011,100027,100,99933,100,100068,100,99917,100,100071,100,,,100101,100,,,100203,100,,,100216,100,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000012,100027,100,99933,100,100068,100,99917,100,100071,100,,,100079,100,,,100082,100,,,100101,100,,,100203,100,,,100216,100,,,,,,,,,,
2019-06-28 09:30:00.000000013,100027,100,100013,100,100068,100,99974,100,100071,100,99933,100,100079,100,99917,100,100082,100,,,100101,100,,,100203,100,,,100216,100,,,,,,,,,,
2019-06-28 09:30:00.000000015,100027,100,100013,100,100068,100,99974,100,100071,100,99963,100,100079,100,99933,100,100082,100,99917,100,100101,100,,,100203,100,,,100216,100,,,,,,,,,,
2019-06-28 09:30:00.000000018,100068,100,100013,100,100071,100,99974,100,100079,100,99963,100,100082,100,99933,100,100101,100,99917,100,100203,100,,,100216,100,,,100226,100,,,,,,,,,,
2019-06-28 09:30:00.000000022,100068,100,100013,100,100071,100,99974,100,100079,100,99963,100,100082,200,99933,100,100101,100,99917,100,100203,100,,,100216,100,,,100226,100,,,,,,,,,,
2019-06-28 09:30:00.000000023,100068,100,100014,100,100071,100,100013,100,100079,100,99974,100,100082,200,99963,100,100101,100,99933,100,100203,100,99917,100,100216,100,,,100226,100,,,,,,,,,,
2019-06-28 09:30:00.000000026,100068,100,100014,100,100071,100,100013,100,100079,100,99982,100,100082,200,99974,100,100101,100,99963,100,100203,100,99933,100,100216,100,99917,100,100226,100,,,,,,,,,,
2019-06-28 09:30:00.000000028,100068,100,100014,100,100071,100,100013,100,100079,100,99982,100,100082,200,99974,100,100086,100,99963,100,100101,100,99933,100,100203,100,99917,100,100216,100,,,100226,100,,,,,,
2019-06-28 09:30:00.000000029,100027,100,100014,100,100068,100,100013,100,100071,100,99982,100,100079,100,99974,100,100082,200,99963,100,100086,100,99933,100,100101,100,99917,100,100203,100,,,100216,100,,,100226,100,,
2019-06-28 09:30:00.000000034,100027,100,100014,100,100068,100,100013,100,100071,100,99982,100,100079,100,99974,100,100082,200,99963,100,100086,100,99933,100,100097,100,99917,100,100101,100,,,100203,100,,,100216,100,,
2019-06-28 09:30:00.000000037,100027,100,100014,100,100068,100,100013,100,100071,100,99982,100,100079,100,99974,100,100082,200,99963,100,100086,100,99933,100,100097,100,99917,100,100101,100,,,100140,100,,,100203,100,,
2019-06-28 09:30:00.000000038,100027,100,100014,100,100029,100,100013,100,100068,100,99982,100,100071,100,99974,100,100079,100,99963,100,100082,200,99933,100,100086,100,99917,100,100097,100,,,100101,100,,,100140,100,,
2019-06-28 09:30:00.000000039,100023,100,100014,100,100027,100,100013,100,100029,100,99982,100,100068,100,99974,100,100071,100,99963,100,100079,100,99933,100,100082,200,99917,100,100086,100,,,100097,100,,,100101,100,,
2019-06-28 09:30:00.000000041,100023,100,100013,100,100027,100,99982,100,100029,100,99974,100,100068,100,99963,100,100071,100,99933,100,100079,100,99917,100,100082,200,,,100086,100,,,100097,100,,,100101,100,,
2019-06-28 09:30:00.000000050,100023,100,100013,100,100027,100,100000,100,100029,100,99982,100,100068,100,99974,100,100071,100,99963,100,100079,100,99933,100,100082,200,99917,100,100086,100,,,100097,100,,,100101,100,,
2019-06-28 09:30:00.000000052,100022,100,100013,100,100023,100,100000,100,100027,100,99982,100,100029,100,99974,100,100068,100,99963,100,100071,100,99933,100,100079,100,99917,100,100082,200,,,100086,100,,,100097,100,,
2019-06-28 09:30:00.000000053,100022,100,100013,100,100023,100,100000,100,100027,100,99982,100,100029,100,99974,100,100068,100,99963,100,100071,100,99933,100,100079,100,99917,100,100082,200,,,100086,100,,,100097,100,,
2019-06-28 09:30:00.000000054,100022,100,100013,100,100023,100,100005,100,100027,100,100000,100,100029,100,99982,100,100068,100,99974,100,100071,100,99963,100,100079,100,99933,100,100082,200,99917,100,100086,100,,,100097,100,,
2019-06-28 09:30:00.000000057,100022,100,100013,100,100023,100,100005,100,100027,100,100000,100,100029,100,99982,100,100068,100,99974,100,100071,100,99963,100,100079,100,99933,100,100082,200,99917,100,100086,100,99792,100,100097,100,,
2019-06-28 09:30:00.000000058,100023,100,100013,100,100027,100,100005,100,100029,100,100000,100,100068,100,99982,100,100071,100,99974,100,100079,100,99963,100,100082,200,99933,100,100086,100,99932,100,100097,100,99917,100,100101,100,99792,100
2019-06-28 09:30:00.000000064,100023,100,100014,100,100027,100,100013,100,100029,100,100005,100,100068,100,100000,100,100071,100,99982,100,100079,100,99974,100,100082,200,99963,100,100086,100,99933,100,100097,100,99932,100,100101,100,99917,100
2019-06-28 09:30:00.000000066,100023,100,100014,100,100027,100,100013,100,100029,100,100005,100,100068,100,100000,100,100071,100,99982,100,100079,100,99974,100,100082,200,99963,100,100086,100,99933,100,100097,100,99932,100,100099,100,99917,100
2019-06-28 09:30:00.000000071,100022,100,100014,100,100023,100,100013,100,100027,100,100005,100,100029,100,100000,100,100068,100,99982,100,100071,100,99974,100,100079,100,99963,100,100082,200,99933,100,100086,100,99932,100,100097,100,99917,100
2019-06-28 09:30:00.000000072,100022,100,100014,100,100023,100,100013,100,100027,100,100005,100,100029,100,100000,100,100068,100,99982,100,100071,100,99974,100,100079,100,99963,100,100082,200,99933,100,100086,100,99932,100,100097,100,99917,100
2019-06-28 09:30:00.000000075,100022,200,100014,100,100023,100,100013,100,100027,100,100005,100,100029,100,100000,100,100068,100,99982,100,100071,100,99974,100,100079,100,99963,100,100082,200,99939,100,100086,100,99933,100,100097,100,99932,100
2019-06-28 09:30:00.000000077,100022,400,100014,100,100023,100,100013,100,100027,100,100005,100,100029,100,100000,100,100068,100,99982,100,100071,100,99974,100,100079,100,99963,100,100082,200,99939,100,100086,100,99933,100,100097,100,99932,100
2019-06-28 09:30:00.000000081,100022,400,100014,100,100023,100,100013,100,100027,100,100005,100,100029,200,100000,100,100066,100,99982,100,100068,100,99974,100,100071,100,99963,100,100079,100,99939,100,100082,200,99933,100,100086,100,99932,100
2019-06-28 09:30:00.000000082,100022,400,100014,100,100023,100,100013,100,100027,100,100005,100,100029,200,100000,100,100066,100,99982,100,100068,100,99974,100,100071,100,99963,100,100079,200,99939,100,100082,200,99933,100,100086,100,99932,100
2019-06-28 09:30:00.000000083,100022,400,100014,100,100023,100,100013,100,100027,100,100005,100,100029,200,100000,100,100066,100,99982,100,100068,100,99974,100,100071,100,99963,100,100079,200,99939,100,100082,200,99933,100,100086,100,99932,100
2019-06-28 09:30:00.000000084,100022,400,100013,100,100023,100,100005,100,100027,100,100000,100,100029,200,99995,100,100066,100,99982,100,100068,100,99974,100,100071,100,99963,100,100079,200,99939,100,100082,200,99933,100,100086,100,99932,100
2019-06-28 09:30:00.000000085,100022,400,100013,100,100023,100,100005,100,100027,100,100000,100,100029,200,99995,100,100066,100,99982,100,100068,100,99974,100,100071,100,99963,100,100079,200,99939,100,100082,200,99933,100,100086,100,99932,100
2019-06-28 09:30:00.000000088,100022,400,100013,100,100023,100,100005,100,100027,100,100000,100,100029,200,99995,100,100066,100,99982,100,100068,100,99974,100,100071,100,99963,100,100079,200,99939,100,100082,200,99933,100,100086,100,99932,100
2019-06-28 09:30:00.000000089,100022,400,100013,100,100023,100,100005,100,100027,100,100000,100,100029,200,99995,100,100066,100,99984,100,100068,100,99982,100,100071,100,99974,100,100079,200,99963,100,100082,200,99939,100,100086,100,99933,100
2019-06-28 09:30:00.000000090,100022,400,100013,100,100023,100,100005,100,100027,100,100000,100,100029,200,99995,100,100066,100,99984,100,100068,100,99982,100,100071,100,99974,100,100079,200,99963,100,100082,200,99939,100,100086,100,99933,100
2019-06-28 09:30:00.000000093,100022,400,100005,100,100023,100,100000,100,100027,100,99995,100,100029,200,99984,100,100066,100,99982,100,100068,100,99974,100,100071,100,99963,100,100079,200,99939,100,100082,200,99933,100,100086,100,99932,100
2019-06-28 09:30:00.000000094,100022,400,100005,100,100023,100,100000,100,100027,100,99995,100,100029,200,99984,100,100066,100,99982,100,100068,100,99974,100,100071,100,99963,100,100079,200,99939,100,100082,200,99933,100,100086,100,99932,100
2019-06-28 09:30:00.000000096,100022,400,100005,100,100023,100,100000,100,100027,100,99995,100,100029,200,99984,100,100045,100,99982,100,100066,100,99974,100,100068,100,99963,100,100071,100,99939,100,100079,200,99933,100,100082,200,99932,100
2019-06-28 09:30:00.000000097,100022,400,100018,100,100023,100,100005,100,100027,100,100000,100,100029,200,99995,100,100045,100,99984,100,100066,100,99982,100,100068,100,99974,100,100071,100,99963,100,100079,200,99939,100,100082,200,99933,100
2019-06-28 09:30:00.000000098,100022,400,100005,100,100023,100,100000,100,100027,100,99995,100,100029,200,99984,100,100045,100,99982,100,100066,100,99974,100,100068,100,99963,100,100071,100,99939,100,100079,200,99933,100,100082,200,99932,100
2019-06-28 09:30:10.000000000,100022,525,100005,225,100023,225,100000,225,100027,225,99995,225,100029,325,99984,225,100045,100,99982,100,100066,100,99974,100,100068,100,99963,100,100071,100,99939,100,100079,200,99933,100,100082,200,99932,100
2019-06-28 09:30:15.651316282,100022,525,100005,125,100023,225,100000,225,100027,225,99995,225,100029,325,99984,225,100045,100,99982,100,100066,100,99974,100,100068,100,99963,100,100071,100,99939,100,100079,200,99933,100,100082,100,99932,100
2019-06-28 09:30:20.000000000,100022,899,100000,599,100023,100,99995,100,100027,100,99984,100,100029,200,99982,100,100045,100,99974,100,100066,100,99963,100,100068,100,99939,100,100071,100,99933,100,100079,200,99932,100,100082,100,99927,100
2019-06-28 09:30:29.674673221,100022,899,100000,599,100023,100,99995,100,100027,100,99984,100,100029,200,99982,100,100045,100,99974,100,100066,100,99963,100,100068,100,99939,100,100071,100,99932,100,100079,200,99927,100,100082,100,99925,100
2019-06-28 09:30:30.000000000,100022,650,100000,350,100023,350,99995,350,100027,100,99984,100,100029,200,99982,100,100045,100,99974,100,100066,100,99963,100,100068,100,99939,100,100071,100,99932,100,100079,200,99927,100,100082,100,99925,100
2019-06-28 09:30:37.431820606,100022,650,100000,250,100023,350,99995,350,100027,100,99984,100,100029,200,99982,100,100045,100,99974,100,100066,100,99963,100,100068,100,99939,100,100071,100,99932,100,100079,200,99927,100,100082,100,99925,100
2019-06-28 09:30:40.000000000,100022,899,99995,599,100023,100,99984,100,100027,100,99982,100,100029,200,99974,100,100045,100,99963,100,100066,100,99939,100,100068,100,99932,100,100071,100,99927,100,100079,200,99925,100,100082,100,99917,100
2019-06-28 09:30:50.000000000,100022,570,99995,270,100023,265,99984,265,100027,265,99982,265,100029,200,99974,100,100045,100,99963,100,100066,100,99939,100,100068,100,99932,100,100071,100,99927,100,100079,200,99925,100,100082,100,99917,100
2019-06-28 09:31:00.000000000,100022,500,99995,200,100023,200,99984,200,100027,200,99982,200,100029,300,99974,200,100045,200,99963,200,100066,100,99939,100,100068,100,99932,100,100071,100,99927,100,100079,200,99925,100,100082,100,99917,100
2019-06-28 09:31:00.929795499,100022,500,99995,100,100023,200,99984,200,100027,200,99982,200,100029,300,99974,200,100045,200,99963,200,100066,100,99939,100,100068,100,99932,100,100071,100,99927,100,100079,200,99925,100,100082,100,99917,100
2019-06-28 09:31:10.000000000,100022,525,99984,225,100023,225,99982,225,100027,225,99974,225,100029,325,99963,225,100045,100,99939,100,100066,100,99932,100,100068,100,99927,100,100071,100,99925,100,100079,200,99917,100,100082,100,99899,100
2019-06-28 09:31:17.532371903,100000,100,99984,225,100022,525,99982,225,100023,225,99974,225,100027,225,99963,225,100029,325,99939,100,100045,100,99932,100,100066,100,99927,100,100068,100,99925,100,100079,200,99917,100,100082,100,99899,100
2019-06-28 09:31:20.000000000,100000,350,99984,350,100022,650,99982,350,100023,100,99974,100,100027,100,99963,100,100029,200,99939,100,100045,100,99932,100,100066,100,99927,100,100068,100,99925,100,100079,200,99917,100,100082,100,99899,100
2019-06-28 09:31:30.000000000,100000,200,99984,200,100022,500,99982,200,100023,200,99974,200,100027,200,99963,200,100029,300,99939,200,100045,100,99932,100,100066,100,99927,100,100068,100,99925,100,100079,200,99917,100,100082,100,99899,100
2019-06-28 09:31:30.315538586,100000,200,99984,200,100022,500,99982,200,100023,200,99974,200,100027,200,99963,200,100029,300,99939,200,100045,100,99932,100,100066,100,99927,100,100068,100,99925,100,100079,200,99917,100,100082,100,99899,100
2019-06-28 09:31:40.000000000,100000,350,99984,350,100022,650,99982,350,100023,100,99974,100,100027,100,99963,100,100029,200,99939,100,100045,100,99932,100,100066,100,99927,100,100068,100,99925,100,100079,200,99917,100,100082,100,99899,100
2019-06-28 09:31:42.419537262,100000,350,99984,250,100022,650,99982,350,100023,100,99974,100,100027,100,99963,100,100029,200,99939,100,100066,100,99932,100,100068,100,99927,100,100079,200,99925,100,100082,100,99917,100,100086,100,99899,100
2019-06-28 09:31:46.129780773,100000,350,99984,250,100022,650,99982,350,100023,100,99974,100,100027,100,99963,100,100029,100,99939,100,100066,100,99932,100,100068,100,99927,100,100079,200,99925,100,100082,100,99917,100,100086,100,99899,100
