EventTime,EventType,Event
,AGENT_TYPE,AgentUnderTest
,STARTING_CASH,10000000
2019-06-28 09:30:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
2019-06-28 09:31:00.000000000,BID_DEPTH,"[(99993, 207)]"
2019-06-28 09:31:00.000000000,ASK_DEPTH,"[(100011, 307)]"
2019-06-28 09:31:00.000000000,IMBALANCE,"[207, 307]"
2019-06-28 09:32:00.000000000,BID_DEPTH,"[(100003, 178)]"
2019-06-28 09:32:00.000000000,ASK_DEPTH,"[(100011, 178)]"
2019-06-28 09:32:00.000000000,IMBALANCE,"[178, 178]"
2019-06-28 09:33:00.000000000,BID_DEPTH,"[(100003, 163)]"
2019-06-28 09:33:00.000000000,ASK_DEPTH,"[(100022, 163)]"
2019-06-28 09:33:00.000000000,IMBALANCE,"[163, 163]"
2019-06-28 09:34:00.000000000,BID_DEPTH,"[(100011, 207)]"
2019-06-28 09:34:00.000000000,ASK_DEPTH,"[(100022, 207)]"
2019-06-28 09:34:00.000000000,IMBALANCE,"[207, 207]"
2019-06-28 09:35:00.000000000,BID_DEPTH,"[(100003, 178)]"
2019-06-28 09:35:00.000000000,ASK_DEPTH,"[(100022, 178)]"
2019-06-28 09:35:00.000000000,IMBALANCE,"[178, 178]"
2019-06-28 09:36:00.000000000,BID_DEPTH,"[(100012, 414)]"
2019-06-28 09:36:00.000000000,ASK_DEPTH,"[(100022, 414)]"
2019-06-28 09:36:00.000000000,IMBALANCE,"[414, 414]"
2019-06-28 09:37:00.000000000,BID_DEPTH,"[(99993, 207)]"
2019-06-28 09:37:00.000000000,ASK_DEPTH,"[(100012, 144)]"
2019-06-28 09:37:00.000000000,IMBALANCE,"[207, 144]"
2019-06-28 09:38:00.000000000,BID_DEPTH,"[(99993, 163)]"
2019-06-28 09:38:00.000000000,ASK_DEPTH,"[(100012, 100)]"
2019-06-28 09:38:00.000000000,IMBALANCE,"[163, 100]"
2019-06-28 09:39:00.000000000,BID_DEPTH,"[(99993, 178)]"
2019-06-28 09:39:00.000000000,ASK_DEPTH,"[(100012, 115)]"
2019-06-28 09:39:00.000000000,IMBALANCE,"[178, 115]"
2019-06-28 09:40:00.000000000,BID_DEPTH,"[(99993, 178)]"
2019-06-28 09:40:00.000000000,ASK_DEPTH,"[(100022, 178)]"
2019-06-28 09:40:00.000000000,IMBALANCE,"[178, 178]"
2019-06-28 09:41:00.000000000,BID_DEPTH,"[(99993, 207)]"
2019-06-28 09:41:00.000000000,ASK_DEPTH,"[(100031, 207)]"
2019-06-28 09:41:00.000000000,IMBALANCE,"[207, 207]"
2019-06-28 09:42:00.000000000,BID_DEPTH,"[(99992, 263)]"
2019-06-28 09:42:00.000000000,ASK_DEPTH,"[(100021, 163)]"
2019-06-28 09:42:00.000000000,IMBALANCE,"[263, 163]"
2019-06-28 09:43:00.000000000,BID_DEPTH,"[(99992, 307)]"
2019-06-28 09:43:00.000000000,ASK_DEPTH,"[(100021, 207)]"
