EventTime,EventType,Event
,AGENT_TYPE,MomentumAgent
,STARTING_CASH,10000000
2019-06-28 09:30:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
2019-06-28 09:31:00.000000000,BID_DEPTH,"[(99983, 195)]"
2019-06-28 09:31:00.000000000,ASK_DEPTH,"[(100007, 195)]"
2019-06-28 09:31:00.000000000,IMBALANCE,"[195, 195]"
2019-06-28 09:32:00.000000000,BID_DEPTH,"[(99983, 176)]"
2019-06-28 09:32:00.000000000,ASK_DEPTH,"[(100007, 176)]"
2019-06-28 09:32:00.000000000,IMBALANCE,"[176, 176]"
2019-06-28 09:33:00.000000000,BID_DEPTH,"[(99984, 229)]"
2019-06-28 09:33:00.000000000,ASK_DEPTH,"[(100019, 229)]"
2019-06-28 09:33:00.000000000,IMBALANCE,"[229, 229]"
2019-06-28 09:34:00.000000000,BID_DEPTH,"[(99984, 429)]"
2019-06-28 09:34:00.000000000,ASK_DEPTH,"[(99992, 229)]"
2019-06-28 09:34:00.000000000,IMBALANCE,"[429, 229]"
2019-06-28 09:35:00.000000000,BID_DEPTH,"[(99984, 376)]"
2019-06-28 09:35:00.000000000,ASK_DEPTH,"[(100019, 176)]"
2019-06-28 09:35:00.000000000,IMBALANCE,"[376, 176]"
2019-06-28 09:36:00.000000000,BID_DEPTH,"[(99984, 395)]"
2019-06-28 09:36:00.000000000,ASK_DEPTH,"[(100020, 195)]"
2019-06-28 09:36:00.000000000,IMBALANCE,"[395, 195]"
2019-06-28 09:37:00.000000000,BID_DEPTH,"[(100021, 119)]"
2019-06-28 09:37:00.000000000,ASK_DEPTH,"[(100052, 195)]"
2019-06-28 09:37:00.000000000,IMBALANCE,"[119, 195]"
2019-06-28 09:38:00.000000000,BID_DEPTH,"[(100021, 153)]"
2019-06-28 09:38:00.000000000,ASK_DEPTH,"[(100052, 229)]"
2019-06-28 09:38:00.000000000,IMBALANCE,"[153, 229]"
2019-06-28 09:39:00.000000000,BID_DEPTH,"[(100055, 451)]"
2019-06-28 09:39:00.000000000,ASK_DEPTH,"[(100075, 480)]"
2019-06-28 09:39:00.000000000,IMBALANCE,"[451, 480]"
2019-06-28 09:40:00.000000000,BID_DEPTH,"[(100055, 247)]"
2019-06-28 09:40:00.000000000,ASK_DEPTH,"[(100077, 176)]"
2019-06-28 09:40:00.000000000,IMBALANCE,"[247, 176]"
2019-06-28 09:41:00.000000000,BID_DEPTH,"[(100022, 229)]"
2019-06-28 09:41:00.000000000,ASK_DEPTH,"[(100077, 229)]"
2019-06-28 09:41:00.000000000,IMBALANCE,"[229, 229]"
2019-06-28 09:42:00.000000000,BID_DEPTH,"[(100022, 290)]"
2019-06-28 09:42:00.000000000,ASK_DEPTH,"[(100055, 290)]"
2019-06-28 09:42:00.000000000,IMBALANCE,"[290, 290]"
2019-06-28 09:43:00.000000000,BID_DEPTH,"[(100022, 229)]"
2019-06-28 09:43:00.000000000,ASK_DEPTH,"[(100055, 229)]"
2019-06-28 09:43:00.000000000,IMBALANCE,"[229, 229]"
2019-06-28 09:44:00.000000000,BID_DEPTH,"[(100021, 404)]"
2019-06-28 09:44:00.000000000,ASK_DEPTH,"[(100055, 480)]"
2019-06-28 09:44:00.000000000,IMBALANCE,"[404, 480]"
2019-06-28 09:45:00.000000000,BID_DEPTH,"[(99983, 229)]"
2019-06-28 09:45:00.000000000,ASK_DEPTH,"[(100054, 229)]"
2019-06-28 09:45:00.000000000,IMBALANCE,"[229, 229]"
2019-06-28 09:46:00.000000000,BID_DEPTH,"[(99970, 176)]"
2019-06-28 09:46:00.000000000,ASK_DEPTH,"[(100054, 176)]"
2019-06-28 09:46:00.000000000,IMBALANCE,"[176, 176]"
2019-06-28 09:47:00.000000000,BID_DEPTH,"[(99931, 176)]"
2019-06-28 09:47:00.000000000,ASK_DEPTH,"[(100021, 176)]"
2019-06-28 09:47:00.000000000,IMBALANCE,"[176, 176]"
2019-06-28 09:48:00.000000000,BID_DEPTH,"[(99917, 176)]"
2019-06-28 09:48:00.000000000,ASK_DEPTH,"[(99939, 276)]"
2019-06-28 09:48:00.000000000,IMBALANCE,"[176, 276]"
2019-06-28 09:49:00.000000000,BID_DEPTH,"[(99877, 176)]"
2019-06-28 09:49:00.000000000,ASK_DEPTH,"[(99916, 276)]"
2019-06-28 09:49:00.000000000,IMBALANCE,"[176, 276]"
2019-06-28 09:50:00.000000000,BID_DEPTH,"[(99868, 229)]"
2019-06-28 09:50:00.000000000,ASK_DEPTH,"[(99916, 329)]"
2019-06-28 09:50:00.000000000,IMBALANCE,"[229, 329]"
2019-06-28 09:51:00.000000000,BID_DEPTH,"[(99511, 176)]"
2019-06-28 09:51:00.000000000,ASK_DEPTH,"[(99660, 176)]"
2019-06-28 09:51:00.000000000,IMBALANCE,"[176, 176]"
2019-06-28 09:52:00.000000000,BID_DEPTH,"[(99536, 329)]"
2019-06-28 09:52:00.000000000,ASK_DEPTH,"[(99702, 229)]"
2019-06-28 09:52:00.000000000,IMBALANCE,"[329, 229]"
2019-06-28 09:53:00.000000000,BID_DEPTH,"[(99794, 229)]"
2019-06-28 09:53:00.000000000,ASK_DEPTH,"[(99868, 300)]"
